City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,raja,8.4596,25.678,22.56,86,83,1.83,SS,1720808368
231,colonia,50.9333,6.95,15.72,86,100,4.63,DE,1720808073
232,flying fish cove,-10.4217,105.6791,24.82,83,20,4.12,CX,1720808370
233,abepura,-2.6333,140.5833,23.45,100,75,0.51,ID,1720808371
234,buta,2.7858,24.73,23.44,89,65,0.87,CD,1720808372
235,constitucion,-35.3333,-72.4167,12.5,48,0,2.12,CL,1720808374
236,port mathurin,-19.6833,63.4167,22.89,71,32,11.87,MU,1720808375
237,lubbock,33.6001,-101.8338,34.65,26,20,3.6,US,1720807796
238,semnan,35.5729,53.3971,27.0,43,66,3.91,IR,1720808377
239,nikolayevsk-on-amure,53.1406,140.73,10.77,98,100,1.01,RU,1720808378
240,coronel dorrego,-38.7187,-61.2873,10.65,33,0,3.73,AR,1720808379
241,alotau,-10.3069,150.4462,22.51,96,100,2.42,PG,1720808381
242,ilulissat,69.2167,-51.1,9.01,61,40,2.06,GL,1720808382
243,aripuana,-9.1667,-60.6333,33.82,33,62,2.41,BR,1720808383
244,annau,37.8876,58.516,26.72,61,75,2.06,TM,1720808384
245,al jawf,29.5,38.75,33.78,18,0,3.26,SA,1720808385
246,alofi,-19.0595,-169.9187,20.94,88,20,3.09,NU,1720808388
247,asosa,10.0667,34.5333,16.51,86,100,1.92,ET,1720808389
248,megion,61.0296,76.1136,18.01,56,27,1.93,RU,1720808390
249,caceres,39.522,-6.3748,32.47,15,0,5.32,ES,1720808391
250,cidreira,-30.1811,-50.2056,12.83,74,92,4.45,BR,1720808392
251,mount isa,-20.7333,139.5,13.87,67,0,6.17,AU,1720808393
252,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,93,20,3.0,RU,1720808395
253,faya-largeau,17.9257,19.1043,37.13,22,87,3.89,TD,1720808396
254,lagunas,-5.2269,-75.6753,32.06,46,91,2.38,PE,1720808397
255,stargard,53.3367,15.0499,23.11,84,97,5.44,PL,1720808398
256,bandar abbas,27.1865,56.2808,33.99,70,40,3.09,IR,1720808188
257,potanino,55.1786,61.6222,20.12,89,40,6.0,RU,1720808400
258,kharp,66.8014,65.8081,12.26,68,100,2.09,RU,1720808402
259,tarnogskiy gorodok,60.4997,43.5761,15.22,68,92,2.5,RU,1720808403
260,cantaura,9.3057,-64.3584,33.51,46,23,5.08,VE,1720808404
261,es castell,39.8795,4.2854,25.38,73,20,7.2,ES,1720808405
262,ad dilam,23.9915,47.1627,41.23,9,100,4.83,SA,1720808406
263,cabo san lucas,22.8909,-109.9124,32.56,57,20,2.68,MX,1720808150
264,bezhetsk,57.7851,36.6965,20.52,65,64,3.58,RU,1720808409
265,puerto baquerizo moreno,-0.9,-89.6,22.55,88,100,6.69,EC,1720808406
266,lazaro cardenas,17.9583,-102.2,31.1,61,86,2.17,MX,1720808411
267,wulingyuan,29.3494,110.5441,22.79,97,100,0.33,CN,1720808413
268,sierra grande,-41.606,-65.3557,12.26,25,0,4.39,AR,1720808414
269,noormarkku,61.5927,21.8685,16.88,88,0,3.09,FI,1720808416
270,egilsstadir,65.2653,-14.3948,17.95,52,0,7.2,IS,1720808417
271,pemangkat,1.1667,108.9667,27.3,72,95,4.07,ID,1720808418
272,butha-buthe,-28.8333,28.5,4.14,18,0,1.29,LS,1720808419
273,qarazhal,48.0078,70.7903,25.64,30,97,7.28,KZ,1720808420
274,yuzhno-kurilsk,44.0306,145.8556,13.87,99,100,1.47,RU,1720808421
275,harnosand,62.6323,17.9379,21.01,72,100,2.02,SE,1720808423
